Cenario 0 S(t),Cenario 0 I(t),Cenario 0 R(t),Cenario 0 D(t),Cenario 1 S(t),Cenario 1 I(t),Cenario 1 R(t),Cenario 1 D(t),Cenario 2 S(t),Cenario 2 I(t),Cenario 2 R(t),Cenario 2 D(t),tempo(t)
067.4878451553,004.0969029910,000.4152518537,000.0083050371,067.4878451553,004.0969029910,000.4152518537,000.0083050371,067.4878451553,004.0969029910,000.4152518537,000.0083050371,012.5000
067.4601960398,004.1198965349,000.4199074253,000.0083981485,067.4601960398,004.1198965349,000.4199074253,000.0083981485,067.4601960398,004.1198965349,000.4199074253,000.0083981485,012.6000
067.4324031370,004.1430077370,000.4245891259,000.0084917825,067.4324031370,004.1430077370,000.4245891259,000.0084917825,067.4324031370,004.1430077370,000.4245891259,000.0084917825,012.7000
067.4044658402,004.1662370705,000.4292970893,000.0085859418,067.4044658402,004.1662370705,000.4292970893,000.0085859418,067.4044658402,004.1662370705,000.4292970893,000.0085859418,012.8000
067.3763835418,004.1895850086,000.4340314496,000.0086806290,067.3763835418,004.1895850086,000.4340314496,000.0086806290,067.3763835418,004.1895850086,000.4340314496,000.0086806290,012.9000
067.3481556332,004.2130520252,000.4387923416,000.0087758468,067.3481556332,004.2130520252,000.4387923416,000.0087758468,067.3481556332,004.2130520252,000.4387923416,000.0087758468,013.0000
067.3197815048,004.2366385944,000.4435799008,000.0088715980,067.3197815048,004.2366385944,000.4435799008,000.0088715980,067.3197815048,004.2366385944,000.4435799008,000.0088715980,013.1000
067.2912605464,004.2603451908,000.4483942628,000.0089678853,067.2912605464,004.2603451908,000.4483942628,000.0089678853,067.2912605464,004.2603451908,000.4483942628,000.0089678853,013.2000
067.2625921465,004.2841722893,000.4532355641,000.0090647113,067.2625921465,004.2841722893,000.4532355641,000.0090647113,067.2625921465,004.2841722893,000.4532355641,000.0090647113,013.3000
067.2337756932,004.3081203650,000.4581039418,000.0091620788,067.2337756932,004.3081203650,000.4581039418,000.0091620788,067.2337756932,004.3081203650,000.4581039418,000.0091620788,013.4000
067.2048105734,004.3321898936,000.4629995331,000.0092599907,067.2048105734,004.3321898936,000.4629995331,000.0092599907,067.2048105734,004.3321898936,000.4629995331,000.0092599907,013.5000
067.1756961733,004.3563813506,000.4679224761,000.0093584495,067.1756961733,004.3563813506,000.4679224761,000.0093584495,067.1756961733,004.3563813506,000.4679224761,000.0093584495,013.6000
067.1464318783,004.3806952123,000.4728729095,000.0094574582,067.1464318783,004.3806952123,000.4728729095,000.0094574582,067.1464318783,004.3806952123,000.4728729095,000.0094574582,013.7000
067.1170170730,004.4051319548,000.4778509722,000.0095570194,067.1170170730,004.4051319548,000.4778509722,000.0095570194,067.1170170730,004.4051319548,000.4778509722,000.0095570194,013.8000
067.0874511413,004.4296920547,000.4828568040,000.0096571361,067.0874511413,004.4296920547,000.4828568040,000.0096571361,067.0874511413,004.4296920547,000.4828568040,000.0096571361,013.9000
067.0577334664,004.4543759886,000.4878905450,000.0097578109,067.0577334664,004.4543759886,000.4878905450,000.0097578109,067.0577334664,004.4543759886,000.4878905450,000.0097578109,014.0000
067.0278634306,004.4791842335,000.4929523359,000.0098590467,067.0278634306,004.4791842335,000.4929523359,000.0098590467,067.0278634306,004.4791842335,000.4929523359,000.0098590467,014.1000
066.9978404157,004.5041172663,000.4980423179,000.0099608464,066.9978404157,004.5041172663,000.4980423179,000.0099608464,066.9978404157,004.5041172663,000.4980423179,000.0099608464,014.2000
066.9676638027,004.5291755642,000.5031606330,000.0100632127,066.9676638027,004.5291755642,000.5031606330,000.0100632127,066.9676638027,004.5291755642,000.5031606330,000.0100632127,014.3000
066.9373329721,004.5543596045,000.5083074234,000.0101661485,066.9373329721,004.5543596045,000.5083074234,000.0101661485,066.9373329721,004.5543596045,000.5083074234,000.0101661485,014.4000
066.9068473035,004.5796698644,000.5134828321,000.0102696566,066.9068473035,004.5796698644,000.5134828321,000.0102696566,066.9068473035,004.5796698644,000.5134828321,000.0102696566,014.5000
066.8762061763,004.6051068213,000.5186870024,000.0103737400,066.8762061763,004.6051068213,000.5186870024,000.0103737400,066.8762061763,004.6051068213,000.5186870024,000.0103737400,014.6000
